date,route_id,direction,boarding_count,alighting_count,vehicle_type,trip_duration_min,weather,temperature_c,is_holiday
2024-10-21,R205,Inbound,388.0,57.0,minibus,77.9,clear,-14.3,False
2024-08-29,R105,Outbound,457.0,169.0,articulated bus,76.6,snow,-1.1,False
2024-12-24,R208,Outbound,354.0,302.0,articulated bus,47.4,snow,29.6,False
2024-03-05,R207,Inbound,423.0,643.0,minibus,17.4,overcast,-11.7,False
2024-06-14,R104,Outbound,73.0,704.0,standard bus,21.9,rain,27.7,False
2024-08-15,R207,Inbound,20.0,587.0,articulated bus,38.5,snow,21.2,False
2024-11-14,R102,Outbound,739.0,251.0,articulated bus,60.4,snow,33.4,False
2024-08-13,R105,OUTBOUND,796.0,17.0,standard bus,55.7,rain,39.2,False
2024-11-20,R104,Outbound,373.0,485.0,articulated bus,49.9,snow,-11.6,False
2024-12-29,R105,Inbound,578.0,195.0,articulated bus,48.2,rain,21.9,False
2024-07-21,R104,Outbound,594.0,380.0,articulated bus,35.3,snow,-0.9,False
2024-02-07,R208,Out,214.0,510.0,minibus,30.1,overcast,-0.3,False
2024-04-14,R103,Inbound,539.0,630.0,standard bus,38.5,overcast,-1.2,False
2024-10-15,R101,Inbound,464.0,247.0,standard bus,78.5,clear,5.2,False
2024-05-19,R104,Outbound,292.0,416.0,mini bus,-5.0,rain,6.2,False
2024-11-14,R208,Inbound,402.0,21.0,standard bus,64.6,snow,16.5,False
2024-05-03,R101,Inbound,483.0,127.0,standard bus,15.5,clear,-2.9,False
2024-09-19,R102,Outbound,797.0,359.0,articulated bus,999.0,clear,41.7,False
2024-02-06,R301,Outbound,349.0,203.0,standard bus,36.5,rain,35.1,False
2024-04-07,R104,Inbound,554.0,440.0,minibus,24.7,rain,4.1,False
2024-02-13,R104,Outbound,674.0,585.0,minibus,89.1,overcast,38.8,False
2024-12-24,R206,Outbound,644.0,119.0,minibus,22.7,rain,22.5,False
2024-07-04,R105,Outbound,793.0,633.0,articulated bus,40.6,overcast,36.3,True
2024-03-18,R105,Inbound,512.0,227.0,minibus,29.9,clear,-11.3,False
2024-07-19,R104,Inbound,542.0,611.0,minibus,77.6,clear,40.6,False
2024-01-03,R101,Inbound,617.0,33.0,articulated bus,53.7,rain,18.1,False
2024-03-01,R206,Inbound,349.0,697.0,minibus,42.1,clear,27.9,False
2024-02-24,R104,Outbound,245.0,291.0,minibus,52.7,snow,17.9,False
2024-03-19,R102,Outbound,386.0,428.0,articulated bus,63.1,clear,25.1,False
2024-10-01,R101,INBOUND,773.0,675.0,articulated bus,25.3,snow,-11.0,False
2024-10-02,R102,Inbound,237.0,743.0,minibus,67.8,clear,-14.8,False
2024-06-29,R302,Outbound,283.0,127.0,articulated bus,21.7,rain,-14.9,False
2024-08-16,R206,Outbound,655.0,690.0,minibus,28.1,snow,1.9,False
2024-04-29,R205,Outbound,435.0,467.0,minibus,60.3,clear,28.5,False
