date,route_id,direction,boarding_count,alighting_count,vehicle_type,trip_duration_min,weather,temperature_c,is_holiday
2024-10-21,R205,Inbound,388.0,57.0,Minibus,77.9,Clear,-14.3,false
2024-08-29,R105,Outbound,457.0,169.0,Articulated Bus,76.6,Snow,-1.1,false
2024-08-31,R207,Inbound,,518.0,Articulated Bus,58.5,Overcast,22.8,False
2024-12-24,R208,Outbound,354.0,302.0,Articulated Bus,47.4,Snow,29.6,0
2024-03-05,R207,Inbound,423.0,643.0,Minibus,17.4,Overcast,-11.7,No
03/06/2024,R104,Outbound,542.0,111.0,Minibus,,Overcast,-10.7,false
2024-06-14,R104,Outbound,73.0,704.0,Standard Bus,21.9,Rain,27.7,false
06/21/2024,R301,Inbound,276.0,670.0,Standard Bus,59.8,Overcast,34.6,0
2024-08-15,R207,Inbound,20.0,587.0,Articulated Bus,38.5,Snow,21.2,0
2024-11-14,R102,Outbound,739.0,251.0,Articulated Bus,60.4,Snow,33.4,No
2024-08-13,R105,OUTBOUND,796.0,17.0,Standard Bus,55.7,Rain,39.2,False
2024-11-20,R104,Outbound,373.0,485.0,Articulated Bus,49.9,Snow,-11.6,No
2024-12-29,R105,Inbound,578.0,195.0,Articulated Bus,48.2,Rain,21.9,False
2024-07-21,R104,Outbound,594.0,380.0,Articulated Bus,35.3,Snow,-0.9,False
2024-02-07,R208,Out,214.0,510.0,Minibus,30.1,Overcast,-0.3,false
2024-04-14,R103,Inbound,539.0,630.0,Standard Bus,38.5,Overcast,-1.2,0
2024-10-15,R101,Inbound,464.0,247.0,Standard Bus,78.5,Clear,5.2,0
2024-04-04,R103,Inbound,226.0,124.0,Minibus,,Clear,25.9,No
2024-05-19,R104,Outbound,292.0,416.0,mini bus,-5.0,Rain,6.2,No
2024-04-25,R206,Outbound,181.0,684.0,Minibus,,Overcast,0.4,0
2024-11-14,R208,Inbound,402.0,21.0,Standard Bus,64.6,Snow,16.5,No
2024-05-03,R101,Inbound,483.0,127.0,Standard Bus,15.5,Clear,-2.9,false
2024-09-19,R102,Outbound,797.0,359.0,Articulated Bus,999.0,Clear,41.7,false
2024-02-06,R301,Outbound,349.0,203.0,Standard Bus,36.5,Rain,35.1,No
2024-04-07,R104,Inbound,554.0,440.0,Minibus,24.7,Rain,4.1,False
2024-11-03,R206,Inbound,302.0,272.0,Minibus,,Snow,24.5,0
2024-02-13,R104,Outbound,674.0,585.0,Minibus,89.1,Overcast,38.8,0
2024-12-24,R206,Outbound,644.0,119.0,Minibus,22.7,Rain,22.5,0
2024-08-19,R205,Inbound,,439.0,Articulated Bus,78.0,Clear,-14.0,No
2024-07-04,R105,Outbound,793.0,633.0,Articulated Bus,40.6,Overcast,36.3,Yes
2024-03-18,R105,Inbound,512.0,227.0,Minibus,29.9,Clear,-11.3,False
2024-07-19,R104,Inbound,542.0,611.0,Minibus,77.6,Clear,40.6,No
